Wed Feb  3 10:16:58 2016 ipInfo|2.150.32.207,Oslo,59.9127,10.7461
Wed Feb  3 12:18:40 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Wed Feb  3 13:25:18 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Wed Feb  3 13:25:19 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Wed Feb  3 13:29:48 2016 ipInfo|82.164.231.180,Hovik verk,59.8933,10.5680
Wed Feb  3 13:31:28 2016 ipInfo|82.164.231.180,Hovik verk,59.8933,10.5680
Wed Feb  3 13:39:11 2016 ipInfo|82.164.231.180,Hovik verk,59.8933,10.5680
Wed Feb  3 13:39:11 2016 ipInfo|82.164.231.180,Hovik verk,59.8933,10.5680
Wed Feb  3 13:44:05 2016 ipInfo|90.149.105.4,,59.9500,10.7500
Wed Feb  3 13:44:06 2016 ipInfo|90.149.105.4,,59.9500,10.7500
Wed Feb  3 13:47:48 2016 ipInfo|90.149.105.4,,59.9500,10.7500
Wed Feb  3 13:48:47 2016 ipInfo|88.88.72.158,Eidsvoll,60.3311,11.2626
Wed Feb  3 13:49:33 2016 ipInfo|88.88.72.158,Eidsvoll,60.3311,11.2626
Wed Feb  3 13:52:22 2016 ipInfo|51.174.84.26,Stavanger,58.9667,5.7500
Wed Feb  3 14:15:55 2016 ipInfo|82.164.43.179,Haslum,58.8000,9.3833
Wed Feb  3 14:38:39 2016 ipInfo|84.212.229.85,Vestre Gausdal,61.2000,10.1500
Wed Feb  3 14:39:30 2016 ipInfo|84.212.229.85,Vestre Gausdal,61.2000,10.1500
Wed Feb  3 14:56:08 2016 ipInfo|84.212.229.85,Vestre Gausdal,61.2000,10.1500
Wed Feb  3 15:00:14 2016 ipInfo|84.212.229.85,Vestre Gausdal,61.2000,10.1500
Wed Feb  3 15:00:14 2016 ipInfo|84.212.229.85,Vestre Gausdal,61.2000,10.1500
Wed Feb  3 15:42:43 2016 ipInfo|31.45.119.251,Oslo,59.9127,10.7461
Wed Feb  3 16:20:35 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb  4 01:09:16 2016 ipInfo|82.164.43.179,Haslum,58.8000,9.3833
Thu Feb  4 04:48:47 2016 ipInfo|62.92.60.72,,59.9500,10.7500
Thu Feb  4 04:49:26 2016 ipInfo|62.92.60.72,,59.9500,10.7500
Thu Feb  4 06:09:45 2016 ipInfo|80.254.154.51,Copenhagen,55.6667,12.5833
Thu Feb  4 06:10:11 2016 ipInfo|80.254.154.51,Copenhagen,55.6667,12.5833
Thu Feb  4 06:10:11 2016 ipInfo|80.254.154.51,Copenhagen,55.6667,12.5833
Thu Feb  4 07:47:09 2016 ipInfo|193.156.79.200,,59.9500,10.7500
Thu Feb  4 07:48:58 2016 ipInfo|213.52.74.206,,59.9500,10.7500
Thu Feb  4 14:23:52 2016 ipInfo|193.110.198.7,Copenhagen,55.6667,12.5833
Thu Feb  4 15:04:22 2016 ipInfo|51.174.84.26,Stavanger,58.9667,5.7500
Thu Feb  4 15:05:12 2016 ipInfo|101.199.112.55,Beijing,39.9289,116.3883
Thu Feb  4 16:03:44 2016 ipInfo|101.199.108.53,Beijing,39.9289,116.3883
Sat Feb  6 09:18:02 2016 ipInfo|114.241.191.170,Beijing,39.9289,116.3883
Sat Feb  6 09:18:03 2016 ipInfo|114.241.191.170,Beijing,39.9289,116.3883
Sat Feb  6 09:19:17 2016 ipInfo|114.241.191.170,Beijing,39.9289,116.3883
Sat Feb  6 09:19:22 2016 ipInfo|114.241.191.170,Beijing,39.9289,116.3883
Sat Feb  6 09:38:00 2016 ipInfo|114.241.191.170,Beijing,39.9289,116.3883
Mon Feb  8 04:47:17 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Mon Feb  8 04:54:10 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Mon Feb  8 06:46:55 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Thu Feb 11 08:05:09 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Thu Feb 18 03:57:08 2016 ipInfo|61.149.86.65,Beijing,39.9289,116.3883
Thu Feb 18 03:57:08 2016 ipInfo|61.149.86.65,Beijing,39.9289,116.3883
Thu Feb 18 16:35:21 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 16:36:49 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 16:36:50 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 16:37:23 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 16:38:15 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Thu Feb 18 16:51:34 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 16:53:54 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 16:53:55 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 16:54:47 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 16:56:11 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 16:56:12 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:00:57 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:01:38 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:07:44 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:08:54 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:09:00 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
